"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gfx\dark_curve_grid_ex.svg", "XML", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 150
"c:\JoystickGremlin-develop\gfx\dark_device_information.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_input_repeater.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_input_viewer.svg", "XML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 26
"c:\JoystickGremlin-develop\gfx\dark_list_add.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_manage_modes.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_manage_modules.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_options.svg", "XML", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138
"c:\JoystickGremlin-develop\gfx\dark_profile_new.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_profile_open.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\dark_profile_save.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_profile_save_as.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\JoystickGremlin-develop\gfx\delete.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\gfx\device_information.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\generate.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\JoystickGremlin-develop\gfx\generic.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\JoystickGremlin-develop\gfx\hat_n.svg", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 68
"c:\JoystickGremlin-develop\gfx\input_repeater.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\input_viewer.svg", "XML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
"c:\JoystickGremlin-develop\gfx\list_add.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\list_delete.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\list_down.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\list_up.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\manage_modes.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\manage_modules.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\mode_delete.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\JoystickGremlin-develop\gfx\options.svg", "XML", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138
"c:\JoystickGremlin-develop\gfx\profile_new.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\profile_open.svg", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
