"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\container_plugins\switch\__init__.py", "Python", 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, 46, -10, 10
"c:\JoystickGremlin-develop\container_plugins\tempoEx\__init__.py", "Python", 0, 0, 400, 0, 0, 0, 0, 0, 0, 0, 117, 165, 682
"c:\JoystickGremlin-develop\container_plugins\tempo\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 72, 23, 107
"c:\JoystickGremlin-develop\container_plugins\tick\__init__.py", "Python", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 67, -14, 33
"c:\JoystickGremlin-develop\container_plugins\trigger\__init__.py", "Python", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 77, 116, 480
"c:\JoystickGremlin-develop\deploy.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\JoystickGremlin-develop\deploy_ai.bat", "Batch", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\JoystickGremlin-develop\deploy_full.bat", "Batch", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\JoystickGremlin-develop\deploy_nuitka.cmd", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\dinput\__init__.py", "Python", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, 276, 31, 275
"c:\JoystickGremlin-develop\docs\actions.md", "Markdown", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 206, 522
"c:\JoystickGremlin-develop\docs\assets\discord.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\docs\assets\warning.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\docs\containers.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 30, 72
"c:\JoystickGremlin-develop\docs\credits.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10, 20
"c:\JoystickGremlin-develop\docs\index.md", "Markdown", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 62, 134
"c:\JoystickGremlin-develop\docs\ktts.md", "Markdown", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 50, 142
"c:\JoystickGremlin-develop\docs\overview.md", "Markdown", 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 269, 640
"c:\JoystickGremlin-develop\docs\resources.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 58, 113
"c:\JoystickGremlin-develop\docs\scripting.md", "Markdown", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 75, 185
"c:\JoystickGremlin-develop\docs\usage.md", "Markdown", 0, 0, 0, 1246, 0, 0, 0, 0, 0, 0, 0, 1061, 2307
"c:\JoystickGremlin-develop\docs_server.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\generate_wix.py", "Python", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, 59, -11, 0
"c:\JoystickGremlin-develop\gfx\dark_list_delete.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_list_down.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\dark_list_up.svg", "XML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\gfx\input_viewer.svg", "XML", 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -51
"c:\JoystickGremlin-develop\gremlinEx.py", "Python", 0, 0, 3449, 0, 0, 0, 0, 0, 0, 0, 768, 1537, 5754
"c:\JoystickGremlin-develop\gremlinEx_nuitka.yml", "YAML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\JoystickGremlin-develop\gremlin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\JoystickGremlin-develop\gremlin\actions.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 211, 59, 339
"c:\JoystickGremlin-develop\gremlin\base_buttons.py", "Python", 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 37, -7, 2
"c:\JoystickGremlin-develop\gremlin\base_classes.py", "Python", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 17, 85
"c:\JoystickGremlin-develop\gremlin\base_conditions.py", "Python", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 110, 15, 266
"c:\JoystickGremlin-develop\gremlin\base_profile.py", "Python", 0, 0, 2095, 0, 0, 0, 0, 0, 0, 0, 492, 693, 3280
"c:\JoystickGremlin-develop\gremlin\cheatsheet.py", "Python", 0, 0, -423, 0, 0, 0, 0, 0, 0, 0, 413, 13, 3
"c:\JoystickGremlin-develop\gremlin\clipboard.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, -2, 0, 24
"c:\JoystickGremlin-develop\gremlin\code_runner.py", "Python", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 69, 51, 213
"c:\JoystickGremlin-develop\gremlin\common.py", "Python", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 12, -1, -4
"c:\JoystickGremlin-develop\gremlin\config.py", "Python", 0, 0, 790, 0, 0, 0, 0, 0, 0, 0, 258, 196, 1244
"c:\JoystickGremlin-develop\gremlin\control_action.py", "Python", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 30, -6, 2
"c:\JoystickGremlin-develop\gremlin\curve_handler.py", "Python", 0, 0, -160, 0, 0, 0, 0, 0, 0, 0, 284, -35, 89
"c:\JoystickGremlin-develop\gremlin\error.py", "Python", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 14, -1, 0
"c:\JoystickGremlin-develop\gremlin\event_handler.py", "Python", 0, 0, 1626, 0, 0, 0, 0, 0, 0, 0, 260, 480, 2366
"c:\JoystickGremlin-develop\gremlin\execution_graph.py", "Python", 0, 0, 1073, 0, 0, 0, 0, 0, 0, 0, 188, 309, 1570
"c:\JoystickGremlin-develop\gremlin\fsm.py", "Python", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 22, -3, 0
"c:\JoystickGremlin-develop\gremlin\gamepad_handling.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\JoystickGremlin-develop\gremlin\gated_handler.py", "Python", 0, 0, -170, 0, 0, 0, 0, 0, 0, 0, 48, 74, -48
"c:\JoystickGremlin-develop\gremlin\gated_handler_instructions.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 9, 19
