"filename", "language", "YAML", "Dotenv", "Python", "XML", "Markdown", "pip requirements", "HTML", "JavaScript", "Batch", "JSON", "Log", "PostCSS", "Ini", "comment", "blank", "total"
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.es.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fi.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fr.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.he.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hi.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hu.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hy.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.it.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 1, 18
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ja.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.jp.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.kn.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
